# c0 + a0 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a1 * ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)) + a2 * (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.115795463770278; Max AE: 0.490873381563708
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   ,  2.768069341049312e-07, -4.537628558229219e-03, -2.924121969331429e+00,  1.326108517641845e+00, 
# 3   ,  8.978941249421408e-07, -6.379894209671616e-03, -2.790966906518128e+00,  1.822209676847334e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 1;  2; A * eV^-1 * nm^-1;                                8|14|div|2|1|mult|div; ((av_bulk_int_dist / av_E_def_subsurf) / (particle_diameter * total_metal_loading)); $\left(\frac{ \left(\frac{ av_{bulk, int, dist} }{ av_{E, def, subsurf} } \right) }{ \left(particle_{diameter} total_{metal, loading}\right) } \right)$; ((av_bulk_int_dist ./ av_E_def_subsurf) ./ (particle_diameter .* total_metal_loading)); av_bulk_int_dist,av_E_def_subsurf,particle_diameter,total_metal_loading
# 2;  2; Unitless;                                         0|19|div|exp:9.6134557446333e-04,0.0000000000000e+00,3.0433683847078e+02,1.3869718719512e+00; (exp(9.613456e-04*((time+3.043368e+02) / (av_BE_H_subsurf+1.386972e+00)))); $\left(\exp{ \left(9.613e-04\left(\frac{ time +3.043e+02 }{ av_{BE, H, subsurf}+1.387e+00 } \right) \right)}\right)$; exp(9.613456e-04.*((time+3.043368e+02) ./ (av_BE_H_subsurf+1.386972e+00))); time,av_BE_H_subsurf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 176                   
# 3   , 168                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.096363688024650e-01,  4.916272561324784e-01,  7.660313335186942e+01,  1.831791657110823e+02,  1.129724484576859e-03
PdAg_1_9_100,  4.889175556194310e-01,  4.931169361324007e-01,  2.298094000556082e+02,  1.831791657110823e+02,  6.347822564039219e-04
PdAg_1_9_100,  5.190263630918930e-01,  4.939725537901111e-01,  3.830156667593470e+02,  1.831791657110823e+02,  3.566785694621638e-04
PdAg_1_9_100,  5.343009987338970e-01,  4.942549243946415e-01,  4.596188001112164e+02,  1.831791657110823e+02,  2.673641260895413e-04
PdAg_1_9_100,  5.224295719363120e-01,  4.944718973918150e-01,  5.362219334630859e+02,  1.831791657110823e+02,  2.004145525967941e-04
PdAg_1_9_100,  5.250038067660980e-01,  4.947710537334767e-01,  6.894282001668247e+02,  1.831791657110823e+02,  1.126111752470568e-04
PdAg_1_9_100,  5.309811253181910e-01,  4.949577266135798e-01,  8.426344668705635e+02,  1.831791657110823e+02,  6.327522939931548e-05
PdAg_1_9_100,  5.301609565427799e-01,  4.950252621286655e-01,  9.192376002224329e+02,  1.831791657110823e+02,  4.743073416766583e-05
PdAg_1_9_100,  5.331594707700800e-01,  4.951284334185130e-01,  1.072443866926172e+03,  1.831791657110823e+02,  2.665091256220994e-05
PdAg_1_9_100,  5.357515610659280e-01,  4.952371531946096e-01,  1.302253266981780e+03,  1.831791657110823e+02,  1.122510573476075e-05
PdAg_1_9_100,  5.338785022320920e-01,  4.952665766930746e-01,  1.378856400333649e+03,  1.831791657110823e+02,  8.414272238341959e-06
PdAg_1_9_100,  5.368098128623250e-01,  4.952939420497833e-01,  1.455459533685519e+03,  1.831791657110823e+02,  6.307288231743424e-06
PdAg_1_9_100,  5.372121836650180e-01,  4.953197646357198e-01,  1.532062667037388e+03,  1.831791657110823e+02,  4.727905600321804e-06
PdAg_1_9_100,  5.374193757726820e-01,  4.953444307698966e-01,  1.608665800389258e+03,  1.831791657110823e+02,  3.544009809644530e-06
PdAg_1_9_100,  5.370904880212340e-01,  4.953682300347392e-01,  1.685268933741127e+03,  1.831791657110823e+02,  2.656568593501902e-06
PdAg_1_9_100,  5.397703104721880e-01,  4.954363391395676e-01,  1.915078333796735e+03,  1.831791657110823e+02,  1.118920910647827e-06
