# c0 + a0 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)) + a1 * ((ln(1.0*time-2.098546e+00)) / (av_BE_H_surf * surface_area)) + a2 * ((av_delta_M1_M2_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf)) + a3 * (exp(2.769328e+01*(av_W_change_H * (particle_diameter-5.925250e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00705148375521867; Max AE: 0.0459804170249272
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# 2   , -1.855794067405617e-02, -8.181543476159642e-01, -6.631199815064329e-01, -1.407366205658995e-01,  1.990214087855158e-01, 
# 3   , -6.069857449316961e-02, -1.659542851451086e+00, -4.730944774847134e-01, -1.335152762084011e-01,  1.665873028838708e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1;                                      11|log:1.0000000000000e+00,6.0100000001000e+00|6|0|div|mult; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_EA / time)); $\left(\left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) .* (av_EA ./ time)); av_mu_C_critical_surf,av_EA,time
# 1;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-2.0985459605508e+00|16|4|mult|div; ((ln(1.0*time-2.098546e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-2.099e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-2.098546e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 2;  2; Gpa^-1 * eV^-1;                                   15|10|div|18|16|sub|div; ((av_delta_M1_M2_subsurf / av_B_0) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(\frac{ av_{delta, M1, M2, subsurf} }{ av_{B, 0} } \right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_delta_M1_M2_subsurf ./ av_B_0) ./ (av_d_band_center_surf - av_BE_H_surf)); av_delta_M1_M2_subsurf,av_B_0,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         17|2|mult|exp:2.7693277987616e+01,0.0000000000000e+00,-7.2441743702400e-02,-5.9252501549240e+00; (exp(2.769328e+01*(av_W_change_H * (particle_diameter-5.925250e+00)))); $\left(\exp{ \left(2.769e+01\left(av_{W, change, H} * \left(particle_{diameter}-5.925e+00\right)\right) \right)}\right)$; exp(2.769328e+01.*(av_W_change_H .* (particle_diameter-5.925250e+00))); av_W_change_H,particle_diameter
# Number of Samples Per Task
# Task, n_samples               
# 2   , 174                   
# 3   , 171                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
PdAg_1_9_100,  6.739314961236501e-02,  6.084648643938663e-02,  6.120974626720144e-02, -1.543468350194755e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.790469284336974e-02,  2.040324875573381e-02, -2.313606877528827e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.956245722670119e-02,  1.530243656680036e-02, -2.504659313770774e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.183041993231544e-02,  1.020162437786691e-02, -2.770294049069239e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.267698508794003e-02,  8.744249466743063e-03, -2.870460879554476e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.461157980999671e-02,  6.120974626720143e-03, -3.100968991953952e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.512388534412835e-02,  5.564522387927403e-03, -3.162324031862849e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.601799593585919e-02,  4.708442020553956e-03, -3.269666064038074e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.744525154263172e-02,  3.600573309835378e-03, -3.441601328950292e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.735004744771500e-02,  7.830571405682100e-02,  3.060487313360072e-03, -3.545547440437196e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.746072776044501e-02,  7.856351130274263e-02,  2.914749822247687e-03, -3.576726478836353e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.767667904030801e-02,  7.880910701191131e-02,  2.782261193963702e-03, -3.606444220210399e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.765536965325100e-02,  7.904360393561298e-02,  2.661293315965280e-03, -3.634831529973533e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.697005438102600e-02,  7.926796179703986e-02,  2.550406094466726e-03, -3.662002445045558e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.857665605556700e-02,  7.948302100010386e-02,  2.448389850688057e-03, -3.688056941032199e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.907950298867700e-02,  7.968952162127092e-02,  2.354221010276978e-03, -3.713083153018973e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.944109445923200e-02,  7.988811876746020e-02,  2.267027639525979e-03, -3.737159174537615e-02, -3.920207727644436e-04,  1.065301306242508e+00
PdAg_1_9_100,  7.992160875437500e-02,  8.007939510362878e-02,  2.186062366685766e-03, -3.760354527345009e-02, -3.920207727644436e-04,  1.065301306242508e+00
