# c0 + a0 * ((av_E_def_subsurf^6) / sqrt(time)) + a1 * ((particle_diameter^6) / (av_mu_C_critical_subsurf * time)) + a2 * ((av_E_def_subsurf * time) * (av_E_def_subsurf / av_W_change_H)) + a3 * ((time / av_W_change_H) * (av_delta_M1_M2_subsurf^3)) + a4 * (exp(7.455637e-01*((std_dev+2.430441e+01) / (av_mu_C_critical_surf+1.019544e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0952852560827623; Max AE: 0.353494546264597
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -2.316269280682400e+03,  3.437994197763543e-04,  2.686371238276817e-03, -3.552666001481668e-01, -1.119134586694386e+02,  7.507428088453975e-01, 
# 3   , -1.939509889482164e+03,  1.725109123222390e-04,  5.503387596711318e-03, -6.665262649655237e-01, -1.178079506398402e+02,  8.874543397466594e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^6 * min^-0.5;                                  14|sp|0|sqrt|div; ((av_E_def_subsurf^6) / sqrt(time)); $\left(\frac{ \left(av_{E, def, subsurf}^6\right) }{ \left(\sqrt{ time }\right) } \right)$; ((av_E_def_subsurf).^6 ./ sqrt(time)); av_E_def_subsurf,time
# 1;  2; eV^-1 * min^-1 * nm^6;                            2|sp|12|0|mult|div; ((particle_diameter^6) / (av_mu_C_critical_subsurf * time)); $\left(\frac{ \left(particle_{diameter}^6\right) }{ \left(av_{mu, C, critical, subsurf} time\right) } \right)$; ((particle_diameter).^6 ./ (av_mu_C_critical_subsurf .* time)); particle_diameter,av_mu_C_critical_subsurf,time
# 2;  2; eV * min;                                         14|0|mult|14|17|div|mult; ((av_E_def_subsurf * time) * (av_E_def_subsurf / av_W_change_H)); $\left(\left(av_{E, def, subsurf} time\right) \left(\frac{ av_{E, def, subsurf} }{ av_{W, change, H} } \right)\right)$; ((av_E_def_subsurf .* time) .* (av_E_def_subsurf ./ av_W_change_H)); av_E_def_subsurf,time,av_E_def_subsurf,av_W_change_H
# 3;  2; eV^-1 * min;                                      0|17|div|15|cb|mult; ((time / av_W_change_H) * (av_delta_M1_M2_subsurf^3)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{delta, M1, M2, subsurf}^3\right)\right)$; ((time ./ av_W_change_H) .* (av_delta_M1_M2_subsurf).^3); time,av_W_change_H,av_delta_M1_M2_subsurf
# 4;  2; Unitless;                                         3|11|div|exp:7.4556373210982e-01,0.0000000000000e+00,2.4304409085946e+01,1.0195440653780e+00; (exp(7.455637e-01*((std_dev+2.430441e+01) / (av_mu_C_critical_surf+1.019544e+00)))); $\left(\exp{ \left(7.456e-01\left(\frac{ std_{dev} +2.430e+01 }{ av_{mu, C, critical, surf}+1.020e+00 } \right) \right)}\right)$; exp(7.455637e-01.*((std_dev+2.430441e+01) ./ (av_mu_C_critical_surf+1.019544e+00))); std_dev,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  2.981828057237115e-01,  2.079871184138299e-05, -7.729814359203758e+02,  5.561999999999999e+00,  4.957603573561165e-02,  1.214893234625915e-03
PdAg_1_9_100,  4.212956441336370e-01,  4.424972305154047e-01,  1.470691018298685e-05, -3.864907179601879e+02,  1.112400000000000e+01,  9.915207147122329e-02,  1.214893234625915e-03
PdAg_1_9_100,  4.889175556194310e-01,  4.903689533208869e-01,  1.200814188041992e-05, -2.576604786401252e+02,  1.668600000000000e+01,  1.487281072068349e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.135701027452231e-01,  1.039935592069149e-05, -1.932453589800940e+02,  2.224800000000000e+01,  1.983041429424466e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.347939347308843e-01,  8.491038553095109e-06, -1.288302393200626e+02,  3.337200000000000e+01,  2.974562144136699e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.431595990645380e-01,  7.353455091493427e-06, -9.662267949004698e+01,  4.449600000000000e+01,  3.966082858848932e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.451535760511930e-01,  6.932903947127662e-06, -8.588682621337509e+01,  5.005800000000000e+01,  4.461843216205048e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.466736251546906e-01,  6.004070940209962e-06, -6.441511966003131e+01,  6.674400000000000e+01,  5.949124288273397e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.331594707700800e-01,  5.455267199483776e-01,  5.558689556906664e-06, -5.521295970859827e+01,  7.786799999999999e+01,  6.940645002985630e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.337303696543760e-01,  5.433888347452561e-01,  5.199677960345747e-06, -4.831133974502349e+01,  8.899199999999999e+01,  7.932165717697863e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.389896903557468e-01,  4.771551740653222e-06, -4.068323346949346e+01,  1.056780000000000e+02,  9.419446789766212e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.336648178150085e-01,  4.434300263856770e-06, -3.513551981456254e+01,  1.223640000000000e+02,  1.090672786183456e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.243066765750370e-01,  5.297664906858671e-01,  4.245519276547555e-06, -3.220755983001565e+01,  1.334880000000000e+02,  1.189824857654679e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.397703104721880e-01,  5.277369778814468e-01,  4.159742368276597e-06, -3.091925743681503e+01,  1.390500000000000e+02,  1.239400893390291e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.484023401121820e-01,  5.192078696218397e-01,  3.862223829032667e-06, -2.665453227311641e+01,  1.612980000000000e+02,  1.437705036332738e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.513618316460450e-01,  5.169925800254332e-01,  3.797307880858424e-06, -2.576604786401252e+01,  1.668600000000000e+02,  1.487281072068349e+00,  1.214893234625915e-03
