# c0 + a0 * ((av_E_def_subsurf^6) / sqrt(time)) + a1 * ((particle_diameter^6) / (av_BE_H_surf * time)) + a2 * ((av_E_def_subsurf * time) * (av_E_def_subsurf / av_W_change_H)) + a3 * ((time / av_W_change_H) * (av_delta_M1_M2_subsurf^3)) + a4 * (exp(7.455637e-01*((std_dev+2.430441e+01) / (av_mu_C_critical_surf+1.019544e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0953654693867391; Max AE: 0.357504097142316
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -2.331318289980327e+03,  1.459826840702253e-04,  2.692312840278677e-03, -3.556668818231943e-01, -1.115866311556624e+02,  7.468401936031677e-01, 
# 3   , -1.944600439213417e+03,  7.285449108034587e-05,  5.505782545760288e-03, -6.666423469955342e-01, -1.176268210253978e+02,  8.850671532781266e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^6 * min^-0.5;                                  14|sp|0|sqrt|div; ((av_E_def_subsurf^6) / sqrt(time)); $\left(\frac{ \left(av_{E, def, subsurf}^6\right) }{ \left(\sqrt{ time }\right) } \right)$; ((av_E_def_subsurf).^6 ./ sqrt(time)); av_E_def_subsurf,time
# 1;  2; eV^-1 * min^-1 * nm^6;                            2|sp|16|0|mult|div; ((particle_diameter^6) / (av_BE_H_surf * time)); $\left(\frac{ \left(particle_{diameter}^6\right) }{ \left(av_{BE, H, surf} time\right) } \right)$; ((particle_diameter).^6 ./ (av_BE_H_surf .* time)); particle_diameter,av_BE_H_surf,time
# 2;  2; eV * min;                                         14|0|mult|14|17|div|mult; ((av_E_def_subsurf * time) * (av_E_def_subsurf / av_W_change_H)); $\left(\left(av_{E, def, subsurf} time\right) \left(\frac{ av_{E, def, subsurf} }{ av_{W, change, H} } \right)\right)$; ((av_E_def_subsurf .* time) .* (av_E_def_subsurf ./ av_W_change_H)); av_E_def_subsurf,time,av_E_def_subsurf,av_W_change_H
# 3;  2; eV^-1 * min;                                      0|17|div|15|cb|mult; ((time / av_W_change_H) * (av_delta_M1_M2_subsurf^3)); $\left(\left(\frac{ time }{ av_{W, change, H} } \right) \left(av_{delta, M1, M2, subsurf}^3\right)\right)$; ((time ./ av_W_change_H) .* (av_delta_M1_M2_subsurf).^3); time,av_W_change_H,av_delta_M1_M2_subsurf
# 4;  2; Unitless;                                         3|11|div|exp:7.4556373210982e-01,0.0000000000000e+00,2.4304409085946e+01,1.0195440653780e+00; (exp(7.455637e-01*((std_dev+2.430441e+01) / (av_mu_C_critical_surf+1.019544e+00)))); $\left(\exp{ \left(7.456e-01\left(\frac{ std_{dev} +2.430e+01 }{ av_{mu, C, critical, surf}+1.020e+00 } \right) \right)}\right)$; exp(7.455637e-01.*((std_dev+2.430441e+01) ./ (av_mu_C_critical_surf+1.019544e+00))); std_dev,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 171                   
# 3   , 174                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  6.096363688024650e-01,  3.265557284756387e-01,  2.079871184138299e-05, -1.600000000000000e+03,  5.561999999999999e+00,  4.957603573561165e-02,  1.214893234625915e-03
PdAg_1_9_100,  4.212956441336370e-01,  4.548858943313601e-01,  1.470691018298685e-05, -7.999999999999999e+02,  1.112400000000000e+01,  9.915207147122329e-02,  1.214893234625915e-03
PdAg_1_9_100,  4.889175556194310e-01,  4.974483879620035e-01,  1.200814188041992e-05, -5.333333333333333e+02,  1.668600000000000e+01,  1.487281072068349e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.056601140297000e-01,  5.180054279450017e-01,  1.039935592069149e-05, -3.999999999999999e+02,  2.224800000000000e+01,  1.983041429424466e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.343009987338970e-01,  5.366028609519758e-01,  8.491038553095109e-06, -2.666666666666666e+02,  3.337200000000000e+01,  2.974562144136699e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.245052994310410e-01,  5.436712889691814e-01,  7.353455091493427e-06, -2.000000000000000e+02,  4.449600000000000e+01,  3.966082858848932e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.250038067660980e-01,  5.452378771643084e-01,  6.932903947127662e-06, -1.777777777777778e+02,  5.005800000000000e+01,  4.461843216205048e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.301609565427799e-01,  5.459176717568522e-01,  6.004070940209962e-06, -1.333333333333333e+02,  6.674400000000000e+01,  5.949124288273397e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.331594707700800e-01,  5.444208000242621e-01,  5.558689556906664e-06, -1.142857142857143e+02,  7.786799999999999e+01,  6.940645002985630e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.337303696543760e-01,  5.420274171897080e-01,  5.199677960345747e-06, -9.999999999999999e+01,  8.899199999999999e+01,  7.932165717697863e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.368098128623250e-01,  5.373567753477440e-01,  4.771551740653222e-06, -8.421052631578947e+01,  1.056780000000000e+02,  9.419446789766212e-01,  1.214893234625915e-03
PdAg_1_9_100,  5.370904880212340e-01,  5.318456419878022e-01,  4.434300263856770e-06, -7.272727272727272e+01,  1.223640000000000e+02,  1.090672786183456e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.243066765750370e-01,  5.278546740449157e-01,  4.245519276547555e-06, -6.666666666666666e+01,  1.334880000000000e+02,  1.189824857654679e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.397703104721880e-01,  5.257860244519362e-01,  4.159742368276597e-06, -6.400000000000000e+01,  1.390500000000000e+02,  1.239400893390291e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.484023401121820e-01,  5.171366694899869e-01,  3.862223829032667e-06, -5.517241379310344e+01,  1.612980000000000e+02,  1.437705036332738e+00,  1.214893234625915e-03
PdAg_1_9_100,  5.513618316460450e-01,  5.148985731034050e-01,  3.797307880858424e-06, -5.333333333333333e+01,  1.668600000000000e+02,  1.487281072068349e+00,  1.214893234625915e-03
