# c0 + a0 * ((particle_diameter^6) * (av_EA / time)) + a1 * (|(av_mu_C_critical_subsurf / av_d_band_center_surf) - (|av_delta_M1_M2_subsurf - av_PE|)|) + a2 * ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)) + a3 * (|(av_PE - total_metal_loading) - (av_mu_C_critical_surf / av_d_band_center_surf)|) + a4 * (exp(2.436020e-03*((time+6.955173e+02) / (av_mu_C_critical_surf+4.051851e+00))))
# Property Label: $S_{ethylene}$; Unit of the Property: Unitless
# RMSE: 0.0885316452825455; Max AE: 0.366170826033698
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   , -8.723421931700828e-05, -1.408162580255775e+00,  1.611278911277687e-06,  1.926408071246918e+00, -2.252653922844225e+00, -1.053694452492920e-01, 
# 3   , -2.353911324647582e-05, -1.001952356583889e+00,  2.160381851230218e-06,  1.349142425817605e+00, -2.777475835109460e+00,  2.271742150404443e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * min^-1 * nm^6;                               2|sp|6|0|div|mult; ((particle_diameter^6) * (av_EA / time)); $\left(\left(particle_{diameter}^6\right) \left(\frac{ av_{EA} }{ time } \right)\right)$; ((particle_diameter).^6 .* (av_EA ./ time)); particle_diameter,av_EA,time
# 1;  2; Unitless;                                         12|18|div|15|7|abd|abd; (|(av_mu_C_critical_subsurf / av_d_band_center_surf) - (|av_delta_M1_M2_subsurf - av_PE|)|); $\left(\left|\left(\frac{ av_{mu, C, critical, subsurf} }{ av_{d, band, center, surf} } \right) - \left(\left|av_{delta, M1, M2, subsurf} - av_{PE}\right|\right)\right|\right)$; abs((av_mu_C_critical_subsurf ./ av_d_band_center_surf) - abs(av_delta_M1_M2_subsurf - av_PE)); av_mu_C_critical_subsurf,av_d_band_center_surf,av_delta_M1_M2_subsurf,av_PE
# 2;  2; eV^-2 * min;                                      0|17|div|18|16|abd|div; ((time / av_W_change_H) / (|av_d_band_center_surf - av_BE_H_surf|)); $\left(\frac{ \left(\frac{ time }{ av_{W, change, H} } \right) }{ \left(\left|av_{d, band, center, surf} - av_{BE, H, surf}\right|\right) } \right)$; ((time ./ av_W_change_H) ./ abs(av_d_band_center_surf - av_BE_H_surf)); time,av_W_change_H,av_d_band_center_surf,av_BE_H_surf
# 3;  2; Unitless;                                         7|1|sub|11|18|div|abd; (|(av_PE - total_metal_loading) - (av_mu_C_critical_surf / av_d_band_center_surf)|); $\left(\left|\left(av_{PE} - total_{metal, loading}\right) - \left(\frac{ av_{mu, C, critical, surf} }{ av_{d, band, center, surf} } \right)\right|\right)$; abs((av_PE - total_metal_loading) - (av_mu_C_critical_surf ./ av_d_band_center_surf)); av_PE,total_metal_loading,av_mu_C_critical_surf,av_d_band_center_surf
# 4;  2; Unitless;                                         0|11|div|exp:2.4360199072802e-03,0.0000000000000e+00,6.9551728820181e+02,4.0518507100687e+00; (exp(2.436020e-03*((time+6.955173e+02) / (av_mu_C_critical_surf+4.051851e+00)))); $\left(\exp{ \left(2.436e-03\left(\frac{ time +6.955e+02 }{ av_{mu, C, critical, surf}+4.052e+00 } \right) \right)}\right)$; exp(2.436020e-03.*((time+6.955173e+02) ./ (av_mu_C_critical_surf+4.051851e+00))); time,av_mu_C_critical_surf
# Number of Samples Per Task
# Task, n_samples               
# 2   , 175                   
# 3   , 170                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  4.212956441336370e-01,  4.110188329669130e-01,  2.125094400000000e+03,  7.296812916559030e-01,  1.532062667037388e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.056601140297000e-01,  5.039561664730011e-01,  1.062547200000000e+03,  7.296812916559030e-01,  3.064125334074777e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.190263630918930e-01,  5.226176905822034e-01,  8.500377599999999e+02,  7.296812916559030e-01,  3.830156667593470e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.224295719363120e-01,  5.440509430041270e-01,  6.071698285714286e+02,  7.296812916559030e-01,  5.362219334630859e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.250038067660980e-01,  5.560680201392468e-01,  4.722432000000000e+02,  7.296812916559030e-01,  6.894282001668247e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.324653140763990e-01,  5.603110258405312e-01,  4.250188800000000e+02,  7.296812916559030e-01,  7.660313335186941e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.309811253181910e-01,  5.638050175985468e-01,  3.863808000000000e+02,  7.296812916559030e-01,  8.426344668705635e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.311850747278510e-01,  5.692373567708670e-01,  3.269376000000000e+02,  7.296812916559030e-01,  9.958407335743022e+02,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.331594707700800e-01,  5.713979390914158e-01,  3.035849142857143e+02,  7.296812916559030e-01,  1.072443866926172e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.337303696543760e-01,  5.749551712422979e-01,  2.656368000000000e+02,  7.296812916559030e-01,  1.225650133629911e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.368098128623250e-01,  5.789842928406214e-01,  2.236941473684211e+02,  7.296812916559030e-01,  1.455459533685519e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.397703104721880e-01,  5.844081751552196e-01,  1.700075520000000e+02,  7.296812916559030e-01,  1.915078333796735e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.449528999218350e-01,  5.857535869652951e-01,  1.574144000000000e+02,  7.296812916559030e-01,  2.068284600500474e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.492079417796780e-01,  5.863674417747905e-01,  1.517924571428572e+02,  7.296812916559030e-01,  2.144887733852343e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_9_100,  5.484023401121820e-01,  5.869474741155832e-01,  1.465582344827586e+02,  7.296812916559030e-01,  2.221490867204213e+03,  8.975420563161975e-01,  0.000000000000000e+00
PdAg_1_5_100,  2.374958845661730e-01,  2.063794018557972e-01,  4.079231999999988e+03,  6.389814731809338e-01,  9.122135255363506e+01,  8.139324966382768e-01,  3.222190325162723e-04
PdAg_1_5_100,  4.808701435604430e-01,  3.845537269453202e-01,  2.039615999999994e+03,  6.389814731809338e-01,  1.824427051072701e+02,  8.139324966382768e-01,  2.764807234170941e-04
PdAg_1_5_100,  5.154914790070170e-01,  4.440972204671828e-01,  1.359743999999996e+03,  6.389814731809338e-01,  2.736640576609052e+02,  8.139324966382768e-01,  2.372348704056746e-04
