# c0 + a0 * ((surface_area^2) / (av_E_def_subsurf * particle_diameter)) + a1 * ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_E_coh / time)) + a2 * ((ln(1.0*time-9.278108e+00)) / (av_E_coh * surface_area)) + a3 * (|(av_W_change_H / total_metal_loading) - (av_mu_C_critical_subsurf + av_EA)|) + a4 * (exp(1.696391e-01*((av_EA-1.100996e+00) / (av_bulk_int_dist-2.553451e+00))))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00569858120754253; Max AE: 0.0395385584571855
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# 2   ,  7.328679516174690e-06, -8.151485029287189e-03,  1.780811244826171e+00, -4.730980950515593e-03,  1.233023992561204e-01, -7.451678310465183e-02, 
# 3   , -1.825796706549526e-07, -1.426924562273640e-02,  1.827435323502954e+00, -3.292189650478198e-03,  1.128196993991384e-01, -4.882271295323309e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g^-2 * m^4 * nm^-1;                       4|sq|14|2|mult|div; ((surface_area^2) / (av_E_def_subsurf * particle_diameter)); $\left(\frac{ \left(surface_{area}^2\right) }{ \left(av_{E, def, subsurf} particle_{diameter}\right) } \right)$; ((surface_area).^2 ./ (av_E_def_subsurf .* particle_diameter)); surface_area,av_E_def_subsurf,particle_diameter
# 1;  2; atom^-1 * eV * min^-1;                            11|log:1.0000000000000e+00,6.0100000001000e+00|9|0|div|mult; ((ln(1.0*av_mu_C_critical_surf+6.010000e+00)) * (av_E_coh / time)); $\left(\left(\ln{ \left(1.0av_{mu, C, critical, surf}+6.010e+00 \right)}\right) \left(\frac{ av_{E, coh} }{ time } \right)\right)$; (log(1.0*av_mu_C_critical_surf+6.010000e+00) .* (av_E_coh ./ time)); av_mu_C_critical_surf,av_E_coh,time
# 2;  2; atom * eV^-1 * g * m^-2;                          0|log:1.0000000000000e+00,-9.2781082894996e+00|9|4|mult|div; ((ln(1.0*time-9.278108e+00)) / (av_E_coh * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-9.278e+00 \right)}\right) }{ \left(av_{E, coh} surface_{area}\right) } \right)$; (log(1.0*time-9.278108e+00) ./ (av_E_coh .* surface_area)); time,av_E_coh,surface_area
# 3;  2; eV;                                               17|1|div|12|6|add|abd; (|(av_W_change_H / total_metal_loading) - (av_mu_C_critical_subsurf + av_EA)|); $\left(\left|\left(\frac{ av_{W, change, H} }{ total_{metal, loading} } \right) - \left(av_{mu, C, critical, subsurf} + av_{EA}\right)\right|\right)$; abs((av_W_change_H ./ total_metal_loading) - (av_mu_C_critical_subsurf + av_EA)); av_W_change_H,total_metal_loading,av_mu_C_critical_subsurf,av_EA
# 4;  2; Unitless;                                         6|8|div|exp:1.6963906371680e-01,0.0000000000000e+00,-1.1009962400818e+00,-2.5534512039261e+00; (exp(1.696391e-01*((av_EA-1.100996e+00) / (av_bulk_int_dist-2.553451e+00)))); $\left(\exp{ \left(1.696e-01\left(\frac{ av_{EA} -1.101e+00 }{ av_{bulk, int, dist}-2.553e+00 } \right) \right)}\right)$; exp(1.696391e-01.*((av_EA-1.100996e+00) ./ (av_bulk_int_dist-2.553451e+00))); av_EA,av_bulk_int_dist
# Number of Samples Per Task
# Task, n_samples               
# 2   , 211                   
# 3   , 220                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
PdAg_1_9_100,  7.460314808079400e-02,  5.782208858515479e-02,  4.311488673139159e+03,  7.555406963214488e-02,  1.297128835323395e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.556785158182775e-02,  4.311488673139159e+03,  3.777703481607244e-02,  1.714793766658940e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.774909474114484e-02,  4.311488673139159e+03,  3.022162785285795e-02,  1.833821281715606e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.403354012486200e-02,  7.088084302732719e-02,  4.311488673139159e+03,  2.158687703775568e-02,  2.005729576492813e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.208439245163853e-02,  4.311488673139159e+03,  1.888851740803622e-02,  2.072078763674714e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.313137459050577e-02,  4.311488673139159e+03,  1.678979325158775e-02,  2.129910520033927e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.405780544531460e-02,  4.311488673139159e+03,  1.511081392642898e-02,  2.181164951553670e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.655976498278901e-02,  7.488856099707274e-02,  4.311488673139159e+03,  1.373710356948089e-02,  2.227186548437112e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.564154085336305e-02,  4.311488673139159e+03,  1.259234493869081e-02,  2.268945515065934e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.690934710656100e-02,  7.633005317999288e-02,  4.311488673139159e+03,  1.162370302032998e-02,  2.307164975916206e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.696426091516238e-02,  4.311488673139159e+03,  1.079343851887784e-02,  2.342398347692046e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.755210024260183e-02,  4.311488673139159e+03,  1.007387595095265e-02,  2.375078612129402e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.809988667174075e-02,  4.311488673139159e+03,  9.444258704018110e-03,  2.405550910367238e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.677065317745700e-02,  7.861272808942259e-02,  4.311488673139159e+03,  8.888714074369987e-03,  2.434094806045513e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.954962377428938e-02,  4.311488673139159e+03,  7.953059961278409e-03,  2.486277131211706e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.765536965325100e-02,  8.114832719244899e-02,  4.311488673139159e+03,  6.569919098447381e-03,  2.575417896171207e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.697005438102600e-02,  8.150283662137216e-02,  4.311488673139159e+03,  6.296172469345407e-03,  2.595199778636162e-02,  1.135143622047244e+01,  1.070224456223925e+00
PdAg_1_9_100,  7.857665605556700e-02,  8.184236940809139e-02,  4.311488673139159e+03,  6.044325570571591e-03,  2.614150684380648e-02,  1.135143622047244e+01,  1.070224456223925e+00
