# c0 + a0 * ((ln(1.0*time-5.204947e+00)) / (av_BE_H_surf * surface_area)) + a1 * ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)) + a2 * ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA))
# Property Label: $S_{C4}$; Unit of the Property: Unitless
# RMSE: 0.00891621881228078; Max AE: 0.0666929972116795
# Coefficients
# Task   a0                      a1                      a2                      c0
# 2   , -7.390181423048900e-01, -1.458742274015298e-02, -5.274463635544666e-01,  1.820621037200994e+00, 
# 3   , -1.171927725785127e+00, -1.056401953558776e-02, -5.027065320583880e-01,  1.726902692136737e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * m^-2;                                 0|log:1.0000000000000e+00,-5.2049474395502e+00|16|4|mult|div; ((ln(1.0*time-5.204947e+00)) / (av_BE_H_surf * surface_area)); $\left(\frac{ \left(\ln{ \left(1.0time-5.205e+00 \right)}\right) }{ \left(av_{BE, H, surf} surface_{area}\right) } \right)$; (log(1.0*time-5.204947e+00) ./ (av_BE_H_surf .* surface_area)); time,av_BE_H_surf,surface_area
# 1;  2; eV^2;                                             14|cb|18|16|sub|div; ((av_E_def_subsurf^3) / (av_d_band_center_surf - av_BE_H_surf)); $\left(\frac{ \left(av_{E, def, subsurf}^3\right) }{ \left(av_{d, band, center, surf} - av_{BE, H, surf}\right) } \right)$; ((av_E_def_subsurf).^3 ./ (av_d_band_center_surf - av_BE_H_surf)); av_E_def_subsurf,av_d_band_center_surf,av_BE_H_surf
# 2;  2; A;                                                8|6|div|14|6|add|mult; ((av_bulk_int_dist / av_EA) * (av_E_def_subsurf + av_EA)); $\left(\left(\frac{ av_{bulk, int, dist} }{ av_{EA} } \right) \left(av_{E, def, subsurf} + av_{EA}\right)\right)$; ((av_bulk_int_dist ./ av_EA) .* (av_E_def_subsurf + av_EA)); av_bulk_int_dist,av_EA,av_E_def_subsurf,av_EA
# Number of Samples Per Task
# Task, n_samples               
# 2   , 212                   
# 3   , 219                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
PdAg_1_9_100,  6.739314961236501e-02,  5.994780154605135e-02, -1.341742300877573e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.460314808079400e-02,  6.447538315261177e-02, -1.954390536066953e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.236301709318101e-02,  6.673471179232034e-02, -2.260110857446627e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.106406789827700e-02,  6.825270851329009e-02, -2.465518090919335e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.338282477917900e-02,  6.939747931609060e-02, -2.620422380444646e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.232835059269099e-02,  7.031680425294214e-02, -2.744820535811207e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.484064918597000e-02,  7.174489871580920e-02, -2.938062674415942e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.551852479397100e-02,  7.232322115601127e-02, -3.016318187656570e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.624140955711101e-02,  7.283795689720447e-02, -3.085969487364572e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.670706670425401e-02,  7.372368601593278e-02, -3.205821635508856e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.687977851198700e-02,  7.446833648683134e-02, -3.306583772223940e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.687620918890400e-02,  7.480053397623017e-02, -3.351534967652332e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.689679201728600e-02,  7.511073604268977e-02, -3.393509859566653e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.681367034897300e-02,  7.567560514294754e-02, -3.469944938480395e-02, -5.109185271770894e-03,  3.357049373881932e+00
PdAg_1_9_100,  7.696036194524600e-02,  7.593440480629472e-02, -3.504964330905595e-02, -5.109185271770894e-03,  3.357049373881932e+00
